NO, NAME, ADDRESS
188,배불도기,서울특별시 동대문구 회기동
189,펫119,서울특별시 동대문구 답십리동
190,살롱드폼,서울특별시 동대문구 장안동
191,동그라미,서울특별시 동대문구 전농동
192,시현펫살롱,서울특별시 동대문구 이문동
193,바르다펫,서울특별시 동대문구 장안동
194,도그 하우스,서울특별시 동대문구 제기동
195,애니케어 동물병원,서울특별시 동대문구 이문동
196,패션그루머,서울특별시 동대문구 전농동
197,아띠 동물의료센터,서울특별시 동대문구 전농동
198,더 데일리 펫샵,서울특별시 동대문구 휘경동
199,페트로(Petro  동물병원),서울특별시 동대문구 장안동
200,#멍멍,서울특별시 동대문구 휘경동
201,한스 강아지방,서울특별시 동대문구 휘경동
202,버블독,서울특별시 동대문구 장안동
203,펫아트만,서울특별시 동대문구 전농동
204,그랜드 동물병원,서울특별시 동대문구 답십리동
205,주주 동물병원,서울특별시 동대문구 전농동
206,하나 동물병원,서울특별시 동대문구 휘경동
207,VIP 동물의료센터,서울특별시 동대문구 장안동
208,박철환 동물병원,서울특별시 동대문구 장안동
209,심재웅 동물병원,서울특별시 동대문구 휘경동
210,둥글개 둥글개,서울특별시 동대문구 장안동
211,현대종합펫(현대동물병원),서울특별시 동대문구 장안동
212,그루밍살롱 마루네,서울특별시 동대문구 장안동
213,그린 동물병원,서울특별시 동대문구 용두동
214,하이유 동물병원,서울특별시 동대문구 답십리동
215,앙쥬펫,서울특별시 동대문구 장안동
216,스마트 동물병원,서울특별시 동대문구 장안동
217,장평펫샵(장평동물병원),서울특별시 동대문구 장안동
218,디아크 동물병원,서울특별시 동대문구 청량리동
219,더케이 동물병원,서울특별시 동대문구 답십리동
220,뉴월드 동물병원,서울특별시 동대문구 답십리동
221,바론 동물의료센터,서울특별시 동대문구 이문동
222,엘 동물병원,서울특별시 동대문구 용두동
223,그루밍 플래너,서울특별시 동대문구 답십리동
224,미니 앤 바니 애견샵,서울특별시 동대문구 장안동
225,퍼피테일,서울특별시 동대문구 답십리동
226,이모네 강아지,서울특별시 중랑구 묵동
227,마리앤독,서울특별시 중랑구 중화동
228,깔끔하개,서울특별시 중랑구 면목동
229,닥터멍펫샵,서울특별시 중랑구 면목동
230,화사하개,서울특별시 중랑구 묵동
231,the 개 #,서울특별시 중랑구 면목동
232,다시사랑받개,서울특별시 중랑구 신내동
233,털찐친구들,서울특별시 중랑구 망우동
234,i꾸러미,서울특별시 중랑구 상봉동
235,내안에너있DOG,서울특별시 중랑구 신내동
236,STAR DOG,서울특별시 중랑구 묵동
237,댕댕살롱,서울특별시 중랑구 면목동
238,엄지펫,서울특별시 중랑구 묵동
239,꼬마애견,서울특별시 중랑구 중화동
240,아이봄동물병원,서울특별시 중랑구 신내동
241,지앤에프,서울특별시 중랑구 면목동
242,59펫살롱,서울특별시 중랑구 면목동
243,예뿌잔아,서울특별시 중랑구 상봉동
244,몽스토리,서울특별시 중랑구 망우동
245,개발소,서울특별시 중랑구 면목동
246,말랑말랑,서울특별시 중랑구 중화동
247,디자인펫샵,서울특별시 중랑구 면목동
248,코타강쥐,서울특별시 중랑구 면목동
249,강사모펫,서울특별시 중랑구 중화동
250,바르다펫 중화점,서울특별시 중랑구 중화동
251,도그앤스토리,서울특별시 중랑구 묵동
252,면목독,서울특별시 중랑구 면목동
253,닥터아이펫 동물병원,서울특별시 중랑구 상봉동
254,개날라리,서울특별시 중랑구 면목동
255,쥬라기동물병원,서울특별시 중랑구 신내동
256,홍상희동물병원,서울특별시 중랑구 묵동
257,엔젤동물병원,서울특별시 중랑구 면목동
258,우아하개,서울특별시 중랑구 면목동
259,성지동물병원,서울특별시 중랑구 면목동
260,쁘띠멍,서울특별시 중랑구 면목동
261,금란동물애견,서울특별시 중랑구 망우동
262,멍멍이천국,서울특별시 중랑구 망우동
263,사랑해줄개,서울특별시 중랑구 신내동
264,수애견,서울특별시 중랑구 묵동
265,큐티펫,서울특별시 중랑구 면목동
266,순진한 강아지,서울특별시 중랑구 망우동
267,숲속동물병원,서울특별시 중랑구 면목동
268,러블리펫,서울특별시 중랑구 묵동
269,하이 그루밍,서울특별시 중랑구 묵동
270,진실이네 애견샵,서울특별시 중랑구 면목동
271,주연동물병원,서울특별시 중랑구 면목동
272,춘살롱,서울특별시 중랑구 면목동
273,엔젤퍼피,서울특별시 중랑구 중화동
274,보람동물병원,서울특별시 중랑구 면목동
275,도그플러스동물병원,서울특별시 중랑구 신내동
276,하니동물병원,서울특별시 중랑구 신내동
277,쿨한 강아지,서울특별시 중랑구 망우동
278,보담동물병원,서울특별시 중랑구 면목동
279,혜원동물병원,서울특별시 중랑구 면목동
280,진정훈동물병원,서울특별시 중랑구 중화동
281,신내동물병원,서울특별시 중랑구 중화동
282,진서동물병원,서울특별시 중랑구 신내동
283,아지사랑,서울특별시 중랑구 면목동
284,강아지미용실502,서울특별시 중랑구 망우동
285,면목동물병원,서울특별시 중랑구 면목동
286,니니 애견 미용실,서울특별시 중랑구 묵동
287,몽몽이#,서울특별시 중랑구 면목동
288,드로잉독,서울특별시 성북구 삼선동4가
289,그루밍솔,서울특별시 성북구 석관동
290,댕츄,서울특별시 성북구 정릉동
291,강아지카페 카페개네,서울특별시 성북구 동선동2가
292,원러브동물의료센터,서울특별시 성북구 돈암동
293,우리집 강아지,서울특별시 성북구 정릉동
294,멍미용,서울특별시 성북구 석관동
